"ADD TO
ESTIMATE";INSTANCE;CORE;RAM;"TEMPORARY
STORAGE";PAY AS YOU GO;"ONE YEAR RESERVED
(% SAVINGS)";"THREE YEAR RESERVED
(% SAVINGS)";vCPU;"ACTIVE vCPU /
UNDERLYING vCPU";GPU;Central US;East US;East US 2;North Central US;South Central US;West Central US;West US;West US 2;North Europe;West Europe;East Asia;Southeast Asia;Japan East;Japan West;Brazil South;Australia Central;Australia Central 2;Australia East;Australia Southeast;Central India;South India;West India;Canada Central;Canada East;Germany Central;Germany Northeast;UK South;UK West;France Central;France South;Korea Central;Korea South;US DoD Central;US DoD East;US Gov Arizona;US Gov Iowa;US Gov Texas;US Gov Virginia
;D16 v3;16;64.00 GiB;400 GiB;$0.88/hour;$0.556/hour (~37%);$0.361/hour (~59%);;;;;$0.768/hour;$0.768/hour;$0.80/hour;$0.88/hour;$0.88/hour;$0.936/hour;$0.768/hour;$0.856/hour;$0.96/hour;$1.25/hour;$1/hour;$1.032/hour;$1.032/hour;$1.272/hour;$1.25/hour;$1.25/hour;$1/hour;$1/hour;$0.84/hour;$1.082/hour;$0.984/hour;$0.888/hour;$0.888/hour;$1.037/hour;$1.037/hour;$0.928/hour;$0.928/hour;$0.896/hour;$1.165/hour;$0.984/hour;$0.886/hour;N/A;N/A;$1.008/hour;N/A;$1.008/hour;N/A
;D32 v3;32;128.00 GiB;800 GiB;$1.76/hour;$1.111/hour (~37%);$0.722/hour (~59%);;;;;$1.536/hour;$1.536/hour;$1.60/hour;$1.76/hour;$1.76/hour;$1.872/hour;$1.536/hour;$1.712/hour;$1.92/hour;$2.50/hour;$2/hour;$2.064/hour;$2.064/hour;$2.544/hour;$2.50/hour;$2.50/hour;$2/hour;$2/hour;$1.68/hour;$2.164/hour;$1.968/hour;$1.776/hour;$1.776/hour;$2.074/hour;$2.074/hour;$1.856/hour;$1.856/hour;$1.792/hour;$2.33/hour;$1.968/hour;$1.772/hour;N/A;N/A;$2.016/hour;N/A;$2.016/hour;N/A
;D64 v3;64;256.00 GiB;1,600 GiB;$3.52/hour;$2.221/hour (~37%);$1.444/hour (~59%);;;;;$3.072/hour;$3.072/hour;$3.20/hour;$3.52/hour;$3.52/hour;$3.744/hour;$3.072/hour;$3.424/hour;$3.84/hour;$5/hour;$4/hour;$4.128/hour;$4.128/hour;$5.088/hour;$5/hour;$5/hour;$4/hour;$4/hour;$3.36/hour;$4.328/hour;$3.936/hour;$3.552/hour;$3.552/hour;$4.148/hour;$4.148/hour;$3.712/hour;$3.712/hour;$3.584/hour;$4.66/hour;$3.936/hour;$3.544/hour;N/A;N/A;$4.032/hour;N/A;$4.032/hour;N/A
;D2s v3;2;8.00 GiB;16 GiB;$0.11/hour;$0.07/hour (~37%);$0.046/hour (~59%);;;;;$0.096/hour;$0.096/hour;$0.10/hour;$0.11/hour;$0.11/hour;$0.117/hour;$0.096/hour;$0.107/hour;$0.12/hour;$0.156/hour;$0.125/hour;$0.129/hour;$0.129/hour;$0.159/hour;$0.157/hour;$0.157/hour;$0.125/hour;$0.125/hour;$0.105/hour;$0.135/hour;$0.123/hour;$0.111/hour;$0.111/hour;$0.13/hour;$0.13/hour;$0.116/hour;$0.116/hour;$0.112/hour;$0.146/hour;$0.123/hour;$0.111/hour;N/A;N/A;$0.126/hour;N/A;$0.126/hour;N/A
;D4s v3;4;16.00 GiB;32 GiB;$0.22/hour;$0.139/hour (~37%);$0.091/hour (~59%);;;;;$0.192/hour;$0.192/hour;$0.20/hour;$0.22/hour;$0.22/hour;$0.234/hour;$0.192/hour;$0.214/hour;$0.24/hour;$0.313/hour;$0.25/hour;$0.258/hour;$0.258/hour;$0.318/hour;$0.313/hour;$0.313/hour;$0.25/hour;$0.25/hour;$0.21/hour;$0.271/hour;$0.246/hour;$0.222/hour;$0.222/hour;$0.259/hour;$0.259/hour;$0.232/hour;$0.232/hour;$0.224/hour;$0.291/hour;$0.246/hour;$0.221/hour;N/A;N/A;$0.252/hour;N/A;$0.252/hour;N/A
;D8s v3;8;32.00 GiB;64 GiB;$0.44/hour;$0.278/hour (~37%);$0.181/hour (~59%);;;;;$0.384/hour;$0.384/hour;$0.40/hour;$0.44/hour;$0.44/hour;$0.468/hour;$0.384/hour;$0.428/hour;$0.48/hour;$0.625/hour;$0.50/hour;$0.516/hour;$0.516/hour;$0.636/hour;$0.625/hour;$0.625/hour;$0.50/hour;$0.50/hour;$0.42/hour;$0.541/hour;$0.492/hour;$0.444/hour;$0.444/hour;$0.518/hour;$0.518/hour;$0.464/hour;$0.464/hour;$0.448/hour;$0.582/hour;$0.492/hour;$0.443/hour;N/A;N/A;$0.504/hour;N/A;$0.504/hour;N/A
;D16s v3;16;64.00 GiB;128 GiB;$0.88/hour;$0.556/hour (~37%);$0.361/hour (~59%);;;;;$0.768/hour;$0.768/hour;$0.80/hour;$0.88/hour;$0.88/hour;$0.936/hour;$0.768/hour;$0.856/hour;$0.96/hour;$1.25/hour;$1/hour;$1.032/hour;$1.032/hour;$1.272/hour;$1.25/hour;$1.25/hour;$1/hour;$1/hour;$0.84/hour;$1.082/hour;$0.984/hour;$0.888/hour;$0.888/hour;$1.037/hour;$1.037/hour;$0.928/hour;$0.928/hour;$0.896/hour;$1.165/hour;$0.984/hour;$0.886/hour;N/A;N/A;$1.008/hour;N/A;$1.008/hour;N/A
;D32s v3;32;128.00 GiB;256 GiB;$1.76/hour;$1.111/hour (~37%);$0.722/hour (~59%);;;;;$1.536/hour;$1.536/hour;$1.60/hour;$1.76/hour;$1.76/hour;$1.872/hour;$1.536/hour;$1.712/hour;$1.92/hour;$2.50/hour;$2/hour;$2.064/hour;$2.064/hour;$2.544/hour;$2.50/hour;$2.50/hour;$2/hour;$2/hour;$1.68/hour;$2.164/hour;$1.968/hour;$1.776/hour;$1.776/hour;$2.074/hour;$2.074/hour;$1.856/hour;$1.856/hour;$1.792/hour;$2.33/hour;$1.968/hour;$1.772/hour;N/A;N/A;$2.016/hour;N/A;$2.016/hour;N/A
;D64s v3;64;256.00 GiB;512 GiB;$3.52/hour;$2.221/hour (~37%);$1.444/hour (~59%);;;;;$3.072/hour;$3.072/hour;$3.20/hour;$3.52/hour;$3.52/hour;$3.744/hour;$3.072/hour;$3.424/hour;$3.84/hour;$5/hour;$4/hour;$4.128/hour;$4.128/hour;$5.088/hour;$5/hour;$5/hour;$4/hour;$4/hour;$3.36/hour;$4.328/hour;$3.936/hour;$3.552/hour;$3.552/hour;$4.148/hour;$4.148/hour;$3.712/hour;$3.712/hour;$3.584/hour;$4.66/hour;$3.936/hour;$3.544/hour;N/A;N/A;$4.032/hour;N/A;$4.032/hour;N/A
;D1 v2;1;3.50 GiB;50 GiB;$0.073/hour;$0.037/hour (~49%);$0.025/hour (~67%);;;;;$0.073/hour;$0.057/hour;$0.073/hour;$0.064/hour;$0.064/hour;$0.07/hour;$0.057/hour;$0.066/hour;$0.068/hour;$0.107/hour;$0.079/hour;$0.102/hour;$0.091/hour;$0.086/hour;$0.105/hour;$0.105/hour;$0.084/hour;$0.078/hour;$0.084/hour;$0.084/hour;$0.084/hour;$0.076/hour;$0.07/hour;$0.076/hour;$0.076/hour;$0.088/hour;$0.088/hour;$0.088/hour;$0.114/hour;$0.083/hour;$0.074/hour;N/A;N/A;$0.071/hour;$0.071/hour;$0.071/hour;$0.071/hour
;D2 v2;2;7.00 GiB;100 GiB;$0.146/hour;$0.075/hour (~49%);$0.049/hour (~67%);;;;;$0.146/hour;$0.114/hour;$0.146/hour;$0.127/hour;$0.127/hour;$0.14/hour;$0.114/hour;$0.132/hour;$0.136/hour;$0.214/hour;$0.158/hour;$0.205/hour;$0.182/hour;$0.171/hour;$0.21/hour;$0.21/hour;$0.168/hour;$0.156/hour;$0.169/hour;$0.169/hour;$0.169/hour;$0.152/hour;$0.14/hour;$0.153/hour;$0.153/hour;$0.176/hour;$0.175/hour;$0.175/hour;$0.228/hour;$0.165/hour;$0.149/hour;N/A;N/A;$0.143/hour;$0.143/hour;$0.143/hour;$0.143/hour
;D3 v2;4;14.00 GiB;200 GiB;$0.293/hour;$0.149/hour (~49%);$0.097/hour (~67%);;;;;$0.293/hour;$0.229/hour;$0.293/hour;$0.254/hour;$0.254/hour;$0.279/hour;$0.229/hour;$0.263/hour;$0.272/hour;$0.428/hour;$0.316/hour;$0.409/hour;$0.365/hour;$0.343/hour;$0.42/hour;$0.42/hour;$0.336/hour;$0.311/hour;$0.337/hour;$0.337/hour;$0.337/hour;$0.305/hour;$0.28/hour;$0.306/hour;$0.306/hour;$0.351/hour;$0.351/hour;$0.351/hour;$0.456/hour;$0.33/hour;$0.297/hour;N/A;N/A;$0.285/hour;$0.285/hour;$0.285/hour;$0.285/hour
;D4 v2;8;28.00 GiB;400 GiB;$0.585/hour;$0.298/hour (~49%);$0.193/hour (~67%);;;;;$0.585/hour;$0.458/hour;$0.585/hour;$0.509/hour;$0.509/hour;$0.559/hour;$0.458/hour;$0.527/hour;$0.544/hour;$0.857/hour;$0.631/hour;$0.818/hour;$0.729/hour;$0.685/hour;$0.841/hour;$0.841/hour;$0.673/hour;$0.623/hour;$0.675/hour;$0.675/hour;$0.675/hour;$0.61/hour;$0.56/hour;$0.612/hour;$0.612/hour;$0.702/hour;$0.702/hour;$0.702/hour;$0.912/hour;$0.66/hour;$0.594/hour;N/A;N/A;$0.571/hour;$0.571/hour;$0.571/hour;$0.571/hour
;D5 v2;16;56.00 GiB;800 GiB;$1.17/hour;$0.595/hour (~49%);$0.386/hour (~67%);;;;;$1.17/hour;$0.916/hour;$1.17/hour;$1.017/hour;$1.017/hour;$1.117/hour;$0.916/hour;$1.053/hour;$1.087/hour;$1.714/hour;$1.263/hour;$1.636/hour;$1.459/hour;$1.37/hour;$1.681/hour;$1.681/hour;$1.345/hour;$1.246/hour;$1.35/hour;$1.35/hour;$1.35/hour;$1.22/hour;$1.12/hour;$1.224/hour;$1.224/hour;$1.405/hour;$1.404/hour;$1.404/hour;$1.824/hour;$1.321/hour;$1.189/hour;N/A;N/A;$1.142/hour;$1.142/hour;$1.142/hour;$1.142/hour
;DS1 v2;1;3.50 GiB;7 GiB;$0.073/hour;$0.037/hour (~49%);$0.025/hour (~67%);;;;;$0.073/hour;$0.057/hour;$0.073/hour;$0.064/hour;$0.064/hour;$0.07/hour;$0.057/hour;$0.066/hour;$0.068/hour;$0.107/hour;$0.079/hour;$0.102/hour;$0.091/hour;$0.086/hour;$0.105/hour;$0.105/hour;$0.084/hour;$0.078/hour;$0.084/hour;$0.084/hour;$0.084/hour;$0.076/hour;$0.07/hour;$0.076/hour;$0.076/hour;$0.088/hour;$0.088/hour;$0.088/hour;$0.114/hour;$0.083/hour;$0.074/hour;N/A;N/A;$0.071/hour;N/A;$0.071/hour;$0.071/hour
;DS2 v2;2;7.00 GiB;14 GiB;$0.146/hour;$0.075/hour (~49%);$0.049/hour (~67%);;;;;$0.146/hour;$0.114/hour;$0.146/hour;$0.127/hour;$0.127/hour;$0.14/hour;$0.114/hour;$0.132/hour;$0.136/hour;$0.214/hour;$0.158/hour;$0.205/hour;$0.182/hour;$0.171/hour;$0.21/hour;$0.21/hour;$0.168/hour;$0.156/hour;$0.169/hour;$0.169/hour;$0.169/hour;$0.152/hour;$0.14/hour;$0.153/hour;$0.153/hour;$0.176/hour;$0.175/hour;$0.175/hour;$0.228/hour;$0.165/hour;$0.149/hour;N/A;N/A;$0.143/hour;N/A;$0.143/hour;$0.143/hour
;DS3 v2;4;14.00 GiB;28 GiB;$0.293/hour;$0.149/hour (~49%);$0.097/hour (~67%);;;;;$0.293/hour;$0.229/hour;$0.293/hour;$0.254/hour;$0.254/hour;$0.279/hour;$0.229/hour;$0.263/hour;$0.272/hour;$0.428/hour;$0.316/hour;$0.409/hour;$0.365/hour;$0.343/hour;$0.42/hour;$0.42/hour;$0.336/hour;$0.311/hour;$0.337/hour;$0.337/hour;$0.337/hour;$0.305/hour;$0.28/hour;$0.306/hour;$0.306/hour;$0.351/hour;$0.351/hour;$0.351/hour;$0.456/hour;$0.33/hour;$0.297/hour;N/A;N/A;$0.285/hour;N/A;$0.285/hour;$0.285/hour
;DS4 v2;8;28.00 GiB;56 GiB;$0.585/hour;$0.298/hour (~49%);$0.193/hour (~67%);;;;;$0.585/hour;$0.458/hour;$0.585/hour;$0.509/hour;$0.509/hour;$0.559/hour;$0.458/hour;$0.527/hour;$0.544/hour;$0.857/hour;$0.631/hour;$0.818/hour;$0.729/hour;$0.685/hour;$0.841/hour;$0.841/hour;$0.673/hour;$0.623/hour;$0.675/hour;$0.675/hour;$0.675/hour;$0.61/hour;$0.56/hour;$0.612/hour;$0.612/hour;$0.702/hour;$0.702/hour;$0.702/hour;$0.912/hour;$0.66/hour;$0.594/hour;N/A;N/A;$0.571/hour;N/A;$0.571/hour;$0.571/hour
;DS5 v2;16;56.00 GiB;112 GiB;$1.17/hour;$0.595/hour (~49%);$0.386/hour (~67%);;;;;$1.17/hour;$0.916/hour;$1.17/hour;$1.017/hour;$1.017/hour;$1.117/hour;$0.916/hour;$1.053/hour;$1.087/hour;$1.714/hour;$1.263/hour;$1.636/hour;$1.459/hour;$1.37/hour;$1.681/hour;$1.681/hour;$1.345/hour;$1.246/hour;$1.35/hour;$1.35/hour;$1.35/hour;$1.22/hour;$1.12/hour;$1.224/hour;$1.224/hour;$1.405/hour;$1.404/hour;$1.404/hour;$1.824/hour;$1.321/hour;$1.189/hour;N/A;N/A;$1.142/hour;N/A;$1.142/hour;$1.142/hour
;DC2s;2;8.00 GiB;100 GiB;N/A;– –;– –;;;;;$0.198/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.257/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
;DC4s;4;16.00 GiB;200 GiB;N/A;– –;– –;;;;;$0.395/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.514/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
;F2s v2;2;4.00 GiB;16 GiB;$0.102/hour;N/A;N/A;;;;;$0.085/hour;$0.085/hour;$0.085/hour;$0.102/hour;$0.102/hour;$0.106/hour;$0.085/hour;$0.096/hour;$0.097/hour;$0.123/hour;$0.098/hour;$0.107/hour;$0.132/hour;$0.131/hour;$0.154/hour;$0.154/hour;$0.111/hour;$0.124/hour;$0.085/hour;$0.128/hour;$0.119/hour;$0.093/hour;$0.102/hour;N/A;N/A;$0.101/hour;$0.107/hour;$0.101/hour;$0.139/hour;$0.096/hour;$0.115/hour;N/A;N/A;$0.106/hour;N/A;$0.102/hour;$0.102/hour
;F4s v2;4;8.00 GiB;32 GiB;$0.204/hour;N/A;N/A;;;;;$0.169/hour;$0.169/hour;$0.17/hour;$0.204/hour;$0.204/hour;$0.212/hour;$0.17/hour;$0.192/hour;$0.194/hour;$0.245/hour;$0.196/hour;$0.214/hour;$0.264/hour;$0.262/hour;$0.309/hour;$0.309/hour;$0.222/hour;$0.247/hour;$0.17/hour;$0.255/hour;$0.238/hour;$0.186/hour;$0.204/hour;N/A;N/A;$0.202/hour;$0.213/hour;$0.202/hour;$0.278/hour;$0.192/hour;$0.23/hour;N/A;N/A;$0.212/hour;N/A;$0.204/hour;$0.204/hour
;F8s v2;8;16.00 GiB;64 GiB;$0.408/hour;N/A;N/A;;;;;$0.338/hour;$0.338/hour;$0.34/hour;$0.408/hour;$0.408/hour;$0.424/hour;$0.34/hour;$0.384/hour;$0.388/hour;$0.492/hour;$0.392/hour;$0.428/hour;$0.527/hour;$0.524/hour;$0.617/hour;$0.617/hour;$0.444/hour;$0.493/hour;$0.34/hour;$0.51/hour;$0.476/hour;$0.372/hour;$0.408/hour;N/A;N/A;$0.404/hour;$0.425/hour;$0.404/hour;$0.555/hour;$0.384/hour;$0.459/hour;N/A;N/A;$0.425/hour;N/A;$0.408/hour;$0.408/hour
;F16s v2;16;32.00 GiB;128 GiB;$0.816/hour;N/A;N/A;;;;;$0.677/hour;$0.677/hour;$0.68/hour;$0.816/hour;$0.816/hour;$0.848/hour;$0.68/hour;$0.768/hour;$0.776/hour;$0.982/hour;$0.784/hour;$0.856/hour;$1.054/hour;$1.048/hour;$1.233/hour;$1.233/hour;$0.888/hour;$0.986/hour;$0.68/hour;$1.02/hour;$0.952/hour;$0.744/hour;$0.816/hour;N/A;N/A;$0.808/hour;$0.85/hour;$0.808/hour;$1.109/hour;$0.768/hour;$0.918/hour;N/A;N/A;$0.85/hour;N/A;$0.816/hour;$0.816/hour
;F32s v2;32;64.00 GiB;256 GiB;$1.632/hour;N/A;N/A;;;;;$1.353/hour;$1.353/hour;$1.36/hour;$1.632/hour;$1.632/hour;$1.696/hour;$1.36/hour;$1.536/hour;$1.552/hour;$1.964/hour;$1.568/hour;$1.712/hour;$2.108/hour;$2.096/hour;$2.465/hour;$2.465/hour;$1.776/hour;$1.972/hour;$1.36/hour;$2.04/hour;$1.904/hour;$1.488/hour;$1.632/hour;N/A;N/A;$1.616/hour;$1.70/hour;$1.616/hour;$2.217/hour;$1.536/hour;$1.836/hour;N/A;N/A;$1.70/hour;N/A;$1.632/hour;$1.632/hour
;F64s v2;64;128.00 GiB;512 GiB;$3.264/hour;N/A;N/A;;;;;$2.706/hour;$2.706/hour;$2.72/hour;$3.264/hour;$3.264/hour;$3.392/hour;$2.72/hour;$3.072/hour;$3.104/hour;$3.928/hour;$3.136/hour;$3.424/hour;$4.216/hour;$4.192/hour;$4.93/hour;$4.93/hour;$3.552/hour;$3.944/hour;$2.72/hour;$4.08/hour;$3.808/hour;$2.976/hour;$3.264/hour;N/A;N/A;$3.232/hour;$3.40/hour;$3.232/hour;$4.434/hour;$3.072/hour;$3.672/hour;N/A;N/A;$3.40/hour;N/A;$3.264/hour;$3.264/hour
;F72s v2;72;144.00 GiB;576 GiB;$3.672/hour;N/A;N/A;;;;;$3.045/hour;$3.045/hour;$3.06/hour;$3.672/hour;$3.672/hour;$3.816/hour;$3.06/hour;$3.456/hour;$3.492/hour;$4.418/hour;$3.528/hour;$3.852/hour;$4.743/hour;$4.716/hour;$5.547/hour;$5.547/hour;$3.996/hour;$4.437/hour;$3.06/hour;$4.59/hour;$4.284/hour;$3.348/hour;$3.672/hour;N/A;N/A;$3.636/hour;$3.825/hour;$3.636/hour;$4.988/hour;$3.456/hour;$4.131/hour;N/A;N/A;$3.825/hour;N/A;$3.672/hour;$3.672/hour
;F1;1;2.00 GiB;16 GiB;$0.055/hour;$0.038/hour (~33%);$0.024/hour (~58%);;;;;$0.05/hour;$0.05/hour;$0.05/hour;$0.055/hour;$0.055/hour;$0.062/hour;$0.05/hour;$0.057/hour;$0.057/hour;$0.072/hour;$0.058/hour;$0.063/hour;$0.063/hour;$0.072/hour;$0.081/hour;$0.081/hour;$0.065/hour;$0.065/hour;$0.049/hour;$0.06/hour;$0.055/hour;$0.052/hour;$0.055/hour;$0.061/hour;$0.061/hour;$0.059/hour;$0.059/hour;$0.05/hour;$0.066/hour;$0.051/hour;$0.051/hour;N/A;N/A;$0.06/hour;$0.06/hour;$0.06/hour;$0.06/hour
;F2;2;4.00 GiB;32 GiB;$0.109/hour;$0.075/hour (~32%);$0.047/hour (~57%);;;;;$0.099/hour;$0.099/hour;$0.099/hour;$0.109/hour;$0.109/hour;$0.124/hour;$0.099/hour;$0.113/hour;$0.114/hour;$0.144/hour;$0.115/hour;$0.126/hour;$0.126/hour;$0.144/hour;$0.162/hour;$0.162/hour;$0.13/hour;$0.13/hour;$0.099/hour;$0.121/hour;$0.11/hour;$0.104/hour;$0.109/hour;$0.122/hour;$0.122/hour;$0.119/hour;$0.119/hour;$0.101/hour;$0.131/hour;$0.102/hour;$0.102/hour;N/A;N/A;$0.12/hour;$0.12/hour;$0.12/hour;$0.12/hour
